Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1640966400,48005.37000000,48118.45000000,47409.77000000,47471.66000000,1589.51833000,75938229.35900290,47726,762.39845000,36430301.00704230
1640970000,47471.67000000,47550.00000000,46889.00000000,47016.57000000,1962.23708000,92495965.81599520,56092,894.39092000,42157156.78878900
1640973600,47016.56000000,47040.52000000,46500.00000000,46686.41000000,1687.72844000,78960617.69772790,50344,693.90304000,32474116.28244600
1640977200,46686.42000000,46688.68000000,45678.96000000,45728.28000000,3851.30902000,177617078.43450390,87472,1691.64542000,78037487.09858530
1640980800,45728.28000000,46211.07000000,45678.00000000,45879.24000000,1831.41202000,84221415.16731020,51300,997.72369000,45882697.84056550
1640984400,45886.66000000,46513.67000000,45766.85000000,46333.86000000,1734.69585000,79970654.39293910,54579,972.44065000,44824303.46222230
1640988000,46333.87000000,46569.97000000,46232.36000000,46303.99000000,991.85142000,46004061.74707110,36280,447.96605000,20777020.92465640
1640991600,46303.98000000,46520.13000000,46132.04000000,46216.93000000,985.99762000,45719763.72468930,29555,484.09229000,22449189.07861200
1640995200,46216.93000000,46731.39000000,46208.37000000,46656.13000000,1503.33095000,69879986.39049930,38608,806.06536000,37462156.91764400
1640998800,46656.14000000,46949.99000000,46574.06000000,46778.14000000,943.81539000,44127148.11760220,31872,491.18067000,22963272.85537420
1641002400,46778.14000000,46928.94000000,46721.96000000,46811.77000000,485.16860000,22720670.41920010,24364,206.35113000,9662607.06589570
1641006000,46811.77000000,46916.63000000,46760.12000000,46813.20000000,562.88971000,26363260.46336290,19882,248.28212000,11629376.39696030
1641009600,46813.21000000,46887.33000000,46591.23000000,46711.05000000,861.88389000,40272043.73838760,23357,397.53563000,18575402.25911010
1641013200,46711.05000000,47555.55000000,46673.94000000,47192.55000000,1400.73642000,66188305.95622700,41431,776.78632000,36695321.68926670
1641016800,47192.56000000,47324.42000000,46940.00000000,46979.62000000,613.97776000,28941491.56563970,25196,299.44097000,14116069.38353970
1641020400,46979.61000000,47255.85000000,46864.84000000,47194.73000000,646.20081000,30399865.63259870,25166,290.68371000,13676285.58825070
1641024000,47194.73000000,47344.69000000,47075.11000000,47124.82000000,532.44767000,25132258.91789440,24412,277.09449000,13080038.84682750
1641027600,47124.82000000,47215.56000000,46933.58000000,47143.98000000,541.32491000,25480514.38439350,25365,254.64431000,11986961.52429050
1641031200,47143.98000000,47298.75000000,46715.39000000,46871.08000000,923.01760000,43322629.22771110,32540,448.37765000,21043573.66074990
1641034800,46871.09000000,47007.73000000,46756.77000000,46758.87000000,732.88793000,34373032.68243550,27081,331.45687000,15546269.32695530
1641038400,46758.87000000,47150.48000000,46756.30000000,47074.05000000,582.15009000,27355387.02829300,25608,305.54991000,14358610.10216820
1641042000,47074.05000000,47199.67000000,46935.09000000,47023.24000000,454.14412000,21373423.46081650,23077,216.57778000,10194176.56101460
1641045600,47023.24000000,47100.00000000,46850.18000000,46926.22000000,503.66220000,23656850.50839710,23020,201.28873000,9453983.66816080
1641049200,46920.01000000,47491.14000000,46871.69000000,47219.04000000,1515.95305000,71605243.71459310,37411,827.63725000,39088771.93551860
1641052800,47219.04000000,47527.24000000,47186.07000000,47268.62000000,1049.57919000,49727146.24110400,36116,499.31520000,23655863.83973110
1641056400,47268.61000000,47954.63000000,47238.81000000,47754.48000000,1320.66577000,62917380.65198550,50007,665.48923000,31698926.84245520
1641060000,47754.47000000,47844.97000000,47420.00000000,47560.55000000,860.76025000,40986790.58520160,33471,439.80569000,20940504.66742650
1641063600,47560.54000000,47611.84000000,47292.72000000,47329.78000000,830.67160000,39371494.07510190,34902,446.07002000,21139553.60469720
1641067200,47329.79000000,47559.03000000,47250.18000000,47391.82000000,717.20792000,33997955.14030300,26745,418.61643000,19840986.49463910
1641070800,47391.82000000,47573.05000000,47268.79000000,47319.67000000,809.21927000,38367198.61858770,26162,468.13641000,22196355.22272780
1641074400,47319.66000000,47490.98000000,47222.22000000,47440.74000000,466.47861000,22096653.53843000,26369,229.44448000,10868452.01605550
1641078000,47440.74000000,47814.00000000,47277.77000000,47722.65000000,746.28954000,35498428.52472110,32737,396.53643000,18865191.32064730
